field	value	source_file	line_or_function	notes
baseline_definition	historical_approved_pairs_only_056	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	sample/config_name	historical artifact; not correctness-valid after later force audit
active_method_family	softall/raw_expected_soft_all	/work/phase3/.phase-diagnostics-057-059/run_blind_p9016_minimal.c	set_minimal_schedule	current code family
input_pairs	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	input_path	phase columns physically present but ignored by blind parser
input_pairs_sha256	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	input_path	independently verified
preprocessing_source	/sharec/zliu/CHARM/mESC/result/cleaned_pairs/c123/P9016.pairs.gz	/sharec/zliu/CHARM/mESC/CHARM/rules/scHiC_2dprocess.rules	scHiC_2dprocess	byte-identical upstream c123 pairs
reference_3dg_eval_only	/shared/zliu/CHARM/CHARM_mesc/data/tdg/P9016.1m.3dg.gz	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/eval/approved_baseline_pairs_only/eval_command.txt	--reference-3dg	ORACLE/eval only
reference_3dg_sha256	1ca82ef4785bc800d9b7ca5fadafa8de9ff028d5f5e0df41183ad087217cea29	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/eval/approved_baseline_pairs_only/eval_command.txt	--reference-3dg	independently verified
bin_size_bp	1000000	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	resolution	1 Mb
chromosome_set	chr1-chr19,chrX	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/eval/approved_baseline_pairs_only/eval_manifest.json	chromosomes	20 chromosomes
raw_contact_count	1703888	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	n_raw	all P9016 contacts
cis_contact_count	1135454	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	n_raw_cis	raw contacts
trans_contact_count	568434	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	n_raw_trans	raw contacts
any_phase_labeled_count	1302203	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/eval/approved_baseline_pairs_only/summary.tsv	input_contacts_with_any_known_phase	evaluation availability only
both_phase_labeled_count	496021	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz	independent scan	evaluation availability only
truth_eval_count	356770	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/eval/approved_baseline_pairs_only/contact_truth_distribution.tsv	all	after coordinate/evaluator eligibility
top1_eval_count	350034	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/eval/approved_baseline_pairs_only/contact_accuracy.tsv	all	coverage denominator for historical top1
historical_build_command	make gpu=1 run_blind_p9016_minimal.bin audit_blind_p9016_full_cpu_output.bin	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/commands.log	line 1	requires CUDA/GPU
historical_run_command	clean_env_prefix HK_BLIND_SAMPLE=P9016 HK_BLIND_P9016_SAMPLE=P9016 HK_BLIND_GIT_COMMIT=1037ee5f79d54e943eef5c37e5aeb2d841698cb8 HK_BLIND_GIT_DIRTY_COUNT=133 HK_BLIND_BINARY_HASH=69deae8c2e88401fef016873aa8bc970f0910b57b57d01b271d18f6720005c8a HK_BLIND_P9016_PAIRS=/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz HK_BLIND_P9016_ALLOW_CUSTOM_PAIRS=0 HK_BLIND_P9016_INPUT_CONTACT_SOURCE=raw_pairs HK_BLIND_P9016_ALLOW_NONSTANDARD_PAIRS=0 HK_BLIND_P9016_OUTPUT_ROOT=/mnt/ssd/zliu/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only HK_BLIND_P9016_CONFIG_NAME=approved_baseline_pairs_only HK_BLIND_P9016_BIN_SIZE_BP=1000000 HK_BLIND_P9016_MINIMAL_N_ITER=100 HK_BLIND_P9016_MINIMAL_RELAX_STEPS=100 HK_BLIND_P9016_RELAX_STEP=0.012 HK_BLIND_P9016_RELAX_BACKEND=gpu HK_BLIND_P9016_INIT_MODE=unphased_scaffold_split HK_BLIND_P9016_INIT_SEED=17 HK_BLIND_P9016_INIT_EPS=0.5 HK_BLIND_P9016_INIT_NOISE_SCALE=0 HK_BLIND_P9016_D_SCALE_MODE=posterior_count HK_BLIND_P9016_D_SCALE_POSTERIOR_GAMMA=1 HK_BLIND_P9016_D_SCALE_EPS_COUNT=1e-6 HK_BLIND_P9016_READGROUP_MODE=off HK_BLIND_P9016_READGROUP_MAX_SEGMENTS=8 HK_BLIND_P9016_READGROUP_EPS=1e-6 HK_BLIND_WRITE_RAW=0 /mnt/ssd/zliu/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/logs/run_blind_p9016_minimal.bin	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/commands.log	line 4	exact full environment-preserving command
current_legacy_compatibility_flag	HK_BLIND_P9016_ESTEP_SCORE_MODE=legacy_fdg_flat	/work/phase3/.phase-diagnostics-057-059/run_blind_p9016_minimal.c	parse_estep_score_mode	prepend when reproducing the historical omitted-environment FDG-flat semantics with current code
historical_random_seed	17	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	init_seed	explicit
historical_estep_score	fdg_flat	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	estep_score_mode	non-monotonic shell energy
historical_mstep_weight	posterior_count gamma=1	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	dscale_mode	posterior affects k and target distance
historical_iterations	100x100	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	n_iter/relax_steps	100 EM rounds and 100 relax steps
historical_relax_step	0.012	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	relax_step	old force scale; later invalidated
historical_git_commit	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/work_outputs/approved_baseline_pairs_only/approved_baseline_pairs_only/p9016_full.manifest.tsv	git_commit	dirty_count=133
historical_runner_sha256	69deae8c2e88401fef016873aa8bc970f0910b57b57d01b271d18f6720005c8a	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/logs/build_env.txt	runner_sha256	saved binary
current_git_commit	fb1eebf522578ed4c31ba49d4d7ffbc8e3bba33e	/work/phase3/.phase-diagnostics-057-059/.git	HEAD	diagnostics branch
current_git_dirty	1	/work/phase3/.phase-diagnostics-057-059/.git	status --porcelain	expected while generating diagnostics
compiler_version	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	/work/phase3/.phase-diagnostics-057-059/Makefile	CC	current node
python_version	3.12.12	/mnt/ssd/zliu/miniforge3/envs/analysis/bin/python	version	conda analysis
conda_environment	analysis	/mnt/ssd/zliu/miniforge3/envs/analysis/bin/python	CONDA_DEFAULT_ENV	must equal analysis
gpu_rerun_status	BLOCKED_NO_NVIDIA_DRIVER	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/commands.log	gpu=1	current nvidia-smi cannot communicate with driver
historical_terminal_audit	INVALID_AFTER_MANIFEST_APPEND	/work/phase3/test_res/056-20260620_230016-p9016_readchain_dedup_training_1m/scripts_snapshot/run_p9016_056_readchain_dedup_training.sh	audit then append source fields	saved OK receipt predates final manifest mutation
